_Date	_Time	_Notes	_Run Type	Battle Date	Armor Shards	Basic	Black Hole Damage	Boss	Cannon Shards	Cash earned	Cash From Golden Tower	Cells Earned	Chain Lightning Damage	Coins earned	Coins Fetched	Coins From Black Hole	Coins from Blackhole	Coins from Coin Bonuses	Coins from Coin Upgrade	Coins From Death Wave	Coins From Golden Tower	Coins From Orb	Coins from Orbs	Coins From Spotlight	Coins per hour	Coins Stolen	Commander	Commanders	Common Modules	Core Shards	Damage	Damage dealt	Damage Gain From Berserk	Damage Taken	Damage Taken Wall	Damage Taken While Berserked	Death Defy	Death Ray Damage	Death Wave Damage	Destroyed by Death Ray	Destroyed by Land Mine	Destroyed By Orbs	Destroyed by Thorns	Destroyed in Golden Bot	Destroyed in Spotlight	Enemies Hit by Orbs	Fast	Flame Bot Damage	Free Attack Upgrade	Free Defense Upgrade	Free Utility Upgrade	Game Time	Gem Blocks Tapped	Gems	Generator Shards	Golden Bot Coins Earned	Guardian catches	Guardian coins stolen	HP From Death Wave	Inner Land Mine Damage	Interest earned	Killed By	Land Mine Damage	Land Mines Spawned	Lifesteal	Medals	Orb Damage	Orb Hits	Overcharge	Overcharges	Projectiles Count	Projectiles Damage	Protector	Ranged	Rare Modules	Rays	Real Time	Recovery Packages	Rend Armor Damage	Reroll Shards	Reroll Shards Earned	Saboteur	Saboteurs	Scatters	Smart Missile Damage	Summoned enemies	Swamp Damage	Tagged by Deathwave	Tank	Thorn damage	Thunder Bot Stuns	Tier	Total Elites	Total Enemies	Vampires	Wave	Waves Skipped
2025-10-01	06:22:00		farm		24	400251	11.37O	540	27	$34.40B	$22.82B	79.98K	0	4.89T	11.65B		101.22B	4.16T	299.86B	12.61B	295.50B		0	0		7.90B		0	3	42	0	104.61O	x8.00	946.59T	89.67q	2.79Q	0	0	68.92Q	0	70286	554671	51699				192436	0	1198	1320	830	1d 21h 16m 0s	2	20	27	5.64B	0		0.00	1.79s	$14.39M	Scatter	82.15s	285169	0	10	81.50O	557.59K		0	16.09M	181.16s	1023	162701	0	1575	9h 19m 56s	4160	159.91s	336	7.88K		0	1545	235.35Q		3.91S		184550	11.74O	0	10	4699	992108	1579	6985	1614
2025-09-30	18:30:00		farm		21	401023	10.25O	531	33	$17.31B	$11.29B	77.52K	1.17Q	4.38T	11.40B		94.20B	3.70T	279.18B	11.62B	272.92B		0	0		6.93B		0	2	30	0	91.77O	x8.00	981.78T	94.08q	2.92Q	0	0	263.07Q	0	65807	531868	56324				191245	0	1198	1320	842	1d 21h 3m 34s	7	0	18	5.05B	0		3.59T	10.25s	$14.33M	Ranged	442.03s	287451	0	0	70.91O	534.67K		0	16.08M	857.89s	1024	162696	0	1603	9h 17m 4s	4153	752.98s	256	9.57K		0	1622	1.50s		0		184394	10.61O	0	10	4865	991328	1640	6946	1595
2025-09-30	08:24:00		farm		24	402960	13.28O	537	36	$28.26B	$19.08B	79.28K	490.04s	4.44T	11.82B		94.68B	3.76T	268.17B	11.88B	276.83B		0	0		7.12B		0	2	30	0	123.59O	x8.00	1.03q	95.98q	2.98Q	2	0	267.49Q	0	57541	556251	57382				194539	0	813	833	759	1d 21h 25m 48s	2	12	24	5.27B	0		3.59T	11.80s	$14.51M	Ranged	495.39s	291634	0	6	95.73O	559.37K		0	16.35M	921.52s	1039	163814	2	1683	9h 24m 10s	4218	813.21s	336	8.11K		0	1634	1.34s		0		186065	14.58O	0	10	5029	999704	1712	7020	1603
2025-09-29	18:44:00		farm		18	396305	17.59O	543	18	$22.87B	$14.96B	83.50K	0	4.64T	11.43B		96.57B	3.94T	285.84B	12.11B	280.61B		0	0		7.88B		0	0	15	0	157.50O	x8.00	920.66T	92.93q	2.91Q	0	0	118.54Q	0	61774	565723	34523				189207	0	1212	1146	898	1d 21h 6m 50s	7	0	18	5.16B	0		0.00	8.57s	$14.45M	Fast	77.29s	285969	0	0	121.35O	569.09K		0	17.13M	168.14s	1022	159568	0	617	9h 8m 2s	4187	148.92s	288	6.99K		0	659	286.70Q		0		181501	18.55O	0	10	1882	980046	606	7003	1610
2025-09-29	09:14:00		farm		39	393195	12.03O	525	30	$9.13B	$5.75B	78.67K	2.37M	4.37T	11.00B		92.61B	3.70T	273.89B	11.50B	270.49B		0	0		6.85B		0	2	15	0	113.93O	x8.00	956.38T	82.32q	2.55Q	1	0	44.69Q	0	54389	556457	63061				184340	0	1159	801	896	1d 20h 13m 38s	2	4	21	5.02B	0		0.00	8.20s	$14.10M	Scatter	69.87s	282097	28.03T	0	88.66O	559.66K		0	16.93M	155.50s	1007	157094	0	1613	9h 5m 36s	4064	137.61s	256	8.42K		0	1592	242.48Q		0		178368	13.24O	0	10	4782	963766	1577	6868	1604
2025-09-29	00:06:00		farm		15	296737	368.67S	388	9	$9.80B	$6.26B	47.37K	1.03S	3.07T	7.57B		56.70B	2.67T	160.70B	7.11B	164.43B		0	0		5.77B		0	3	15	0	3.40O	x8.00	830.82T	58.65q	1.82Q	0	0	207.61Q	0	19070	380780	25512				115963	0	1298	1320	907	1d 8h 13m 38s	7	16	18	3.06B	0		0.00	5.49s	$10.41M	Scatter	269.44s	196831	28.03T	10	2.67O	383.04K		0	11.71M	645.15s	725	97177	0	922	6h 39m 4s	3030	574.49s	460	7.18K		0	935	839.19Q		0		114012	362.90S	0	11	2763	655007	906	5037	1152
2025-09-28	17:18:00		farm		9	302264	577.15S	389	27	$25.45B	$17.62B	52.06K	280.25s	3.33T	9.07B		61.72B	2.88T	179.96B	7.86B	180.40B		0	0		6.20B		0	0	21	0	5.36O	x8.00	789.78T	66.47q	2.09Q	0	0	415.60Q	0	20076	409788	29840				118327	0	823	878	873	1d 8h 41m 3s	8	0	15	3.38B	0		0.00	4.95s	$10.58M	Scatter	204.00s	201347	28.03T	0	4.25O	412.44K		0	12.71M	523.63s	744	99434	1	949	6h 48m 53s	3048	464.33s	380	7.44K		0	937	691.62Q		0		117355	539.41S	0	11	2862	668102	976	5129	1179
2025-09-28	10:23:00		farm		6	103423	481.34s	156	6	$6.21B	$4.25B	7.80K	0	789.14B	2.19B		12.81B	701.75B	33.15B	1.81B	35.48B		0	0		2.63B		0	0	6	0	3.54S	x8.00	766.66T	3.65q	111.93q	0	0	7.66Q	0	1970	115872	1408				26310	0	795	831	892	13h 2m 51s	3	0	12	715.74M	0		0.00	70.45Q	$4.17M	Tank	372.81Q	55613	28.03T	0	2.93S	116.71K		0	4.50M	36.85s	281	20787	0	123	2h 57m 55s	1202	32.64s	184	3.24K		0	123	4.31Q		19.19s		27266	67.70s	0	12	396	182256	150	2022	461
2025-09-28	07:09:00		farm		18	374061	1.77O	494	27	$42.91B	$28.27B	65.52K	0	3.95T	9.22B		81.39B	3.37T	236.95B	10.04B	237.18B		0	0		5.74B		0	4	24	0	16.07O	x8.00	877.95T	43.41q	1.35Q	0	0	106.03Q	0	85601	460804	45284				169124	0	1294	1320	919	1d 17h 20m 52s	1	13	9	4.38B	0		0.00	2.41s	$13.31M	Basic	329.90s	251133	27.75T	6	12.41O	463.69K		0	14.16M	671.59s	942	142657	1	1407	8h 25m 16s	3853	591.24s	448	7.53K		0	1382	340.21Q		0		162992	1.89O	0	10	4164	893815	1375	6445	1478
2025-09-27	22:23:00		farm		6	296536	413.01S	387	18	$9.27B	$6.05B	52.16K	0	3.66T	8.57B		66.63B	3.18T	195.07B	8.42B	194.53B		0	0		6.82B		0	1	15	0	3.81O	x8.00	853.50T	61.50q	1.92Q	1	0	55.82Q	0	23170	395613	25309				116892	0	1174	918	865	1d 8h 31m 1s	6	7	9	3.52B	0		0.00	812.71Q	$10.53M	Scatter	34.76s	197494	27.75T	4	3.02O	397.78K		0	12.48M	114.06s	744	98472	0	938	6h 42m 24s	3000	100.83s	380	7.27K		0	956	137.50Q		1.46S		116073	370.27S	0	11	2853	659562	959	5103	1172
